calories,carbs,category,name,restaurant
330,11,Burgers,Cheeseburger – Protein® Style (Bun replaced with Lettuce),In-N-Out Burger
400,41,Burgers,Cheeseburger w/Mustard & Ketchup Instead of Spread,In-N-Out Burger
480,39,Burgers,Cheeseburger w/Onion,In-N-Out Burger
590,72,Shakes,Chocolate Shake,In-N-Out Burger
520,11,Burgers,Double-Double® – Protein® Style (Bun replaced with Lettuce),In-N-Out Burger
590,41,Burgers,Double-Double® w/Mustard & Ketchup Instead of Spread,In-N-Out Burger
670,39,Burgers,Double-Double® w/Onion,In-N-Out Burger
395,54,French Fries,French Fries,In-N-Out Burger
240,11,Burgers,Hamburger – Protein® Style (Bun replaced with Lettuce),In-N-Out Burger
310,41,Burgers,Hamburger w/Mustard & Ketchup Instead of Spread,In-N-Out Burger
390,39,Burgers,Hamburger w/Onion,In-N-Out Burger
590,81,Shakes,Strawberry Shake,In-N-Out Burger
580,67,Shakes,Vanilla Shake,In-N-Out Burger
275,34.2,Desserts,Apple Pie Turnover,Golden Chick
263,29.4,Sides,Batter Coat French Fries,Golden Chick
724,65.6,Sandwiches,Buffalo Tender Sandwich,Golden Chick
180,24,Desserts,Chocolate Chip Cookie,Golden Chick
363,2.3,Salads,Chunky Chicken Salad,Golden Chick
708,54.1,Sandwiches,Chunky Chicken Salad Sandwich,Golden Chick
287,27.4,Sides,Classic Potato Salad,Golden Chick
125,12.1,Sides,Coleslaw,Golden Chick
265,33,Sides,Corn Nuggets,Golden Chick
182,34,Sides,Corn on the Cob,Golden Chick
200,16.2,Sides,Dirty Rice,Golden Chick
176,25.9,Sides,Fresh Baked Yeast Roll,Golden Chick
96,24.8,Drinks,Fresh Brewed Iced Tea Sweetened,Golden Chick
2,0.7,Drinks,Fresh Brewed Iced Tea Unsweetened,Golden Chick
561,34.5,Seafood,Fried Breaded Catfish,Golden Chick
521,17.5,Chicken,Fried Chicken Breast,Golden Chick
174,6.7,Chicken,Fried Chicken Leg,Golden Chick
521,25.4,Chicken,Fried Chicken Tenders,Golden Chick
421,15,Chicken,Fried Chicken Thigh,Golden Chick
150,2.9,Chicken,Fried Chicken Wing,Golden Chick
292,34,Sides,Fried Okra,Golden Chick
313,1.1,Chicken,Golden Roast Chicken Breast,Golden Chick
159,0.6,Chicken,Golden Roast Chicken Leg,Golden Chick
273,0.8,Chicken,Golden Roast Chicken Thigh,Golden Chick
126,0.5,Chicken,Golden Roast Chicken Wing,Golden Chick
657,75.5,Sandwiches,Golden Tender Sandwich,Golden Chick
31,6.1,Sides,Green Beans,Golden Chick
139,20.8,Sides,Mac & Cheese,Golden Chick
74,13.8,Sides,Mashed Potatoes,Golden Chick
101,27.1,Drinks,Minute Maid Raspberry Lemonade,Golden Chick
342,25.7,Sides,Mozzarella Sticks,Golden Chick
170,22,Desserts,Oatmeal Raisin Cookie,Golden Chick
142,23.3,Sides,Southwest Style Pinto Beans,Golden Chick
90,23.7,Sides,Tropical Fruit Salad,Golden Chick
190,23,Desserts,White Chocolate Macadamia Nut Cookie,Golden Chick
54,8.2,Sides,White Cream Peppered Gravy,Golden Chick
250,33,Desserts,Apple Turnover (1),KFC
210,41,Sides,BBQ Baked Beans,KFC
180,23,Sides,Biscuit,KFC
40,2,Salads,Caesar Side Salad without Dressing & Croutons,KFC
300,39,Desserts,Café Valley Bakery® Chocolate Chip Cake (6 slices per cake),KFC
790,66,Chicken,Chicken Pot Pie,KFC
150,21,Sides,Cole Slaw,KFC
70,16,Sides,Corn on the Cob (3″),KFC
140,33,Sides,Corn on the Cob (5.5″),KFC
420,25,Entrees,Country Fried Steak with Peppered White Gravy,KFC
390,21,Entrees,Country Fried Steak without Peppered White Gravy,KFC
360,18,Salads,Crispy Chicken BLT Salad without Dressing,KFC
340,16,Salads,Crispy Chicken Caesar Salad without Dressing & Croutons,KFC
260,11,Chicken,Crispy Strips (2),KFC
390,17,Chicken,Crispy Strips (3),KFC
610,52,Sandwiches,Crispy Twister®,KFC
490,51,Sandwiches,Crispy Twister® without Sauce,KFC
610,18,Sandwiches,Double Down with OR Filet,KFC
520,40,Sandwiches,Doublicious with OR Filet,KFC
510,16,Chicken,EC Chicken- Breast,KFC
150,5,Chicken,EC Chicken- Drumstick,KFC
340,10,Chicken,EC Chicken- Thigh,KFC
190,6,Chicken,EC Chicken- Whole Wing,KFC
440,39,Entrees,EC Drumstick Value Box,KFC
630,45,Entrees,EC Thigh Value Box,KFC
70,5,Wings,Fiery Buffalo Hot Wings® (1),KFC
510,51,Entrees,Fiery Buffalo Hot Wings® Value Box,KFC
25,4,Sides,Green Beans,KFC
220,0,Chicken,Grilled Chicken- Breast,KFC
90,0,Chicken,Grilled Chicken- Drumstick,KFC
170,0,Chicken,Grilled Chicken- Thigh,KFC
80,1,Chicken,Grilled Chicken- Whole Wing,KFC
